,FIPS,Date,Confirmed,Deaths,New Cases,New Deaths,"Cases, 7DMA","Deaths, 7DMA","New Cases Per 100k, 7DMA",Deaths Per 100k
0,01001,2020-09-08,1385,23,2,0,4,0,7,41
1,01003,2020-09-08,4609,42,23,0,23,1,10,19
2,01005,2020-09-08,617,7,0,0,-2,0,-8,28
3,01007,2020-09-08,562,6,5,0,3,0,13,27
4,01009,2020-09-08,1071,12,1,0,4,0,7,21
5,01011,2020-09-08,545,13,0,0,1,0,10,129
6,01013,2020-09-08,859,37,0,0,3,0,15,190
7,01015,2020-09-08,2602,31,9,0,27,0,24,27
8,01017,2020-09-08,857,40,0,0,-2,0,-6,120
9,01019,2020-09-08,367,11,0,0,2,0,8,42
10,01021,2020-09-08,1172,12,4,0,9,0,20,27
11,01023,2020-09-08,325,12,0,0,1,0,8,95
12,01025,2020-09-08,932,13,2,0,1,0,4,55
13,01027,2020-09-08,402,6,1,0,6,0,45,45
14,01029,2020-09-08,239,5,0,0,5,0,34,34
15,01031,2020-09-08,985,5,3,0,2,0,4,10
16,01033,2020-09-08,1486,22,6,0,6,0,11,40
17,01035,2020-09-08,438,11,1,0,0,0,0,91
18,01037,2020-09-08,111,3,1,0,0,0,0,28
19,01039,2020-09-08,818,25,1,0,0,0,0,67
20,01041,2020-09-08,405,31,4,0,1,0,7,225
21,01043,2020-09-08,1483,15,3,0,3,0,4,18
22,01045,2020-09-08,1032,42,2,0,2,1,4,85
23,01047,2020-09-08,1450,25,1,0,3,0,8,67
24,01049,2020-09-08,2114,16,3,0,7,0,10,22
25,01051,2020-09-08,2145,44,21,0,14,0,17,54
26,01053,2020-09-08,1262,22,5,0,3,0,8,60
27,01055,2020-09-08,2784,42,10,0,12,0,12,41
28,01057,2020-09-08,320,6,4,0,4,0,25,37
29,01059,2020-09-08,1601,27,1,0,8,0,26,86
30,01061,2020-09-08,398,3,0,0,1,0,4,11
31,01063,2020-09-08,282,14,0,0,1,0,12,173
32,01065,2020-09-08,542,27,0,0,1,0,7,184
33,01067,2020-09-08,346,3,1,0,2,0,12,17
