FIPS,STNAME,CTYNAME,POPESTIMATE2019,PER100K
01000,Alabama,Alabama,4903185,49.03185
01001,Alabama,Autauga County,55869,0.55869
01003,Alabama,Baldwin County,223234,2.23234
01005,Alabama,Barbour County,24686,0.24686
01007,Alabama,Bibb County,22394,0.22394
01009,Alabama,Blount County,57826,0.57826
01011,Alabama,Bullock County,10101,0.10101
01013,Alabama,Butler County,19448,0.19448
01015,Alabama,Calhoun County,113605,1.13605
01017,Alabama,Chambers County,33254,0.33254
01019,Alabama,Cherokee County,26196,0.26196
01021,Alabama,Chilton County,44428,0.44428
01023,Alabama,Choctaw County,12589,0.12589
01025,Alabama,Clarke County,23622,0.23622
01027,Alabama,Clay County,13235,0.13235
01029,Alabama,Cleburne County,14910,0.1491
01031,Alabama,Coffee County,52342,0.52342
01033,Alabama,Colbert County,55241,0.55241
01035,Alabama,Conecuh County,12067,0.12067
01037,Alabama,Coosa County,10663,0.10663
01039,Alabama,Covington County,37049,0.37049
01041,Alabama,Crenshaw County,13772,0.13772
01043,Alabama,Cullman County,83768,0.83768
01045,Alabama,Dale County,49172,0.49172
01047,Alabama,Dallas County,37196,0.37196
01049,Alabama,DeKalb County,71513,0.71513
01051,Alabama,Elmore County,81209,0.81209
01053,Alabama,Escambia County,36633,0.36633
01055,Alabama,Etowah County,102268,1.02268
01057,Alabama,Fayette County,16302,0.16302
01059,Alabama,Franklin County,31362,0.31362
01061,Alabama,Geneva County,26271,0.26271
01063,Alabama,Greene County,8111,0.08111
01065,Alabama,Hale County,14651,0.14651
01067,Alabama,Henry County,17205,0.17205
01069,Alabama,Houston County,105882,1.05882
01071,Alabama,Jackson County,51626,0.51626
01073,Alabama,Jefferson County,658573,6.58573
01075,Alabama,Lamar County,13805,0.13805
01077,Alabama,Lauderdale County,92729,0.92729
01079,Alabama,Lawrence County,32924,0.32924
01081,Alabama,Lee County,164542,1.64542
01083,Alabama,Limestone County,98915,0.98915
01085,Alabama,Lowndes County,9726,0.09726
01087,Alabama,Macon County,18068,0.18068
01089,Alabama,Madison County,372909,3.72909
01091,Alabama,Marengo County,18863,0.18863
01093,Alabama,Marion County,29709,0.29709
01095,Alabama,Marshall County,96774,0.96774
01097,Alabama,Mobile County,413210,4.1321
01099,Alabama,Monroe County,20733,0.20733
01101,Alabama,Montgomery County,226486,2.26486
01103,Alabama,Morgan County,119679,1.19679
01105,Alabama,Perry County,8923,0.08923
01107,Alabama,Pickens County,19930,0.1993
01109,Alabama,Pike County,33114,0.33114
01111,Alabama,Randolph County,22722,0.22722
01113,Alabama,Russell County,57961,0.57961
01115,Alabama,St. Clair County,89512,0.89512
01117,Alabama,Shelby County,217702,2.17702
01119,Alabama,Sumter County,12427,0.12427
01121,Alabama,Talladega County,79978,0.79978
01123,Alabama,Tallapoosa County,40367,0.40367
01125,Alabama,Tuscaloosa County,209355,2.09355
01127,Alabama,Walker County,63521,0.63521
01129,Alabama,Washington County,16326,0.16326
01131,Alabama,Wilcox County,10373,0.10373
01133,Alabama,Winston County,23629,0.23629
02000,Alaska,Alaska,731545,7.31545
02013,Alaska,Aleutians East Borough,3337,0.03337
